,CL
2022-08-11 20:00:00,1423.113902189366
2022-08-11 20:30:00,1432.9455698038105
2022-08-11 21:00:00,1003.3772866079046
2022-08-11 21:30:00,1211.7912462325844
2022-08-11 22:00:00,1701.719237418254
2022-08-11 22:30:00,1259.3841421666193
2022-08-11 23:00:00,780.7087492180838
2022-08-11 23:30:00,694.5001842479387
2022-08-12 00:00:00,425.203392095536
2022-08-12 00:30:00,454.1222550469149
2022-08-12 01:00:00,456.4797108330963
2022-08-12 01:30:00,486.5190443559852
2022-08-12 02:00:00,484.7035365368211
2022-08-12 02:30:00,484.33302473699166
2022-08-12 03:00:00,484.81469007677
2022-08-12 03:30:00,515.006636337788
2022-08-12 04:00:00,486.7784026158657
2022-08-12 04:30:00,456.4797108330965
2022-08-12 05:00:00,482.9991822576061
2022-08-12 05:30:00,484.33302473699183
2022-08-12 06:00:00,484.0736664771113
2022-08-12 06:30:00,491.9285166334946
2022-08-12 07:00:00,524.9045433608189
2022-08-12 07:30:00,796.9475308501567
2022-08-12 08:00:00,1220.0045754904752
2022-08-12 08:30:00,1207.796152118283
2022-08-12 09:00:00,2267.2683295422235
2022-08-12 09:30:00,2143.303420813193
2022-08-12 10:00:00,1721.6655197611606
2022-08-12 10:30:00,1696.163109183964
2022-08-12 11:00:00,1664.4761299402903
2022-08-12 11:30:00,1484.894779073074
2022-08-12 12:00:00,1575.131557861814
2022-08-12 12:30:00,1537.0122078475972
2022-08-12 13:00:00,1630.85796218368
2022-08-12 13:30:00,1506.7782067102646
2022-08-12 14:00:00,1558.0068837077056
2022-08-12 14:30:00,1699.717758885414
2022-08-12 15:00:00,1574.7101751492753
2022-08-12 15:30:00,1575.5193443275523
2022-08-12 16:00:00,1542.8449690076773
2022-08-12 16:30:00,1541.9688456070517
2022-08-12 17:00:00,1514.0699027580326
2022-08-12 17:30:00,1752.0975243104922
2022-08-12 18:00:00,1557.1207529144158
2022-08-12 18:30:00,1487.6511009383
2022-08-12 19:00:00,1448.1245208984935
2022-08-12 19:30:00,1536.2571262439585
2022-08-12 20:00:00,1279.257513505829
2022-08-12 20:30:00,1346.5548464600513
2022-08-12 21:00:00,1622.3647833380726
2022-08-12 21:30:00,1352.3641379016208
2022-08-12 22:00:00,1310.1263883992042
2022-08-12 22:30:00,1209.8153818595397
2022-08-12 23:00:00,871.8261785612739
2022-08-12 23:30:00,651.1588814330396
2022-08-13 00:00:00,552.555564970145
2022-08-13 00:30:00,552.1768328120557
2022-08-13 01:00:00,553.0679673016775
2022-08-13 01:30:00,552.2213895365369
2022-08-13 02:00:00,552.7115135058289
2022-08-13 02:30:00,523.2933531418823
2022-08-13 03:00:00,522.8556488484505
2022-08-13 03:30:00,551.9094924651693
2022-08-13 04:00:00,552.9788538527155
2022-08-13 04:30:00,524.0692834802388
2022-08-13 05:00:00,523.1739792436736
2022-08-13 05:30:00,481.7921000853
2022-08-13 06:00:00,325.3782206425933
2022-08-13 06:30:00,455.6415916974695
2022-08-13 07:00:00,581.163126528291
